Profit,-$70.80,"$1,359.60",$14.27,$2.65,$84.80,$20.60,$2.20,-$45.40,$32.90,-$72.73,-$46.16,$41.20,-$0.38,-$10.65,$115.24,-$5.94,$13.80,$58.90,$2.31,$4.90,-$20.46,$22.75,$0.70,$95.10,$74.36,$341.00
-,gold,us30cash,us100cash,us100cash,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,eurusd,gold,gold,gold,gold,gold,us100cash,us100cash,gold,gold,gold,
Symbol,GOLD,US30Cash,US100Cash,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,EURUSD,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,US100Cash,GOLD,GOLD,GOLD,
Type,SELL,BUY,BUY,BUY,SELL,BUY,SELL,SELL,SELL,BUY,BUY,BUY,BUY,SELL,SELL,SELL,SELL,SELL,SELL,SELL,BUY,SELL,BUY,BUY,SELL,
Asset Type,Precious Metals,Indices,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Forex,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,
Volume,0.1,0.9,0.7,0.1,0.01,0.2,0.1,0.01,0.07,0.06,0.01,0.02,0.13,0.03,1,0.2,0.1,0.1,0.1,0.3,0.8,46054,0.02,0.1,0.01,
Open price,"4,134.25","52,150.62","28,942.41","28,894.29","4,003.74","4,048.66","4,146.69","4,081.83","4,027.86","4,049.70","4,129.50","4,125.74","4,007.21","4,059.96",1.14264,"4,062.37","4,050.85","4,059.72","4,009.26","4,012.63","28,532.13","28,868.68","4,157.52","4,072.84","4,007.28",
close price,"4,133.31","52,232.12","28,964.04","28,920.54","4,013.55","4,047.07","4,152.06","4,080.82","4,019.87","4,055.32","4,122.16","4,125.89","4,009.59","4,071.51",1.14073,"4,053.51","4,047.27","4,045.06","4,006.43","4,002.29","28,539.63","28,838.43","4,128.15","4,072.92","4,006.65",
open time,22/07 19:34,21/07 15:12,21/07 07:32,21/07 06:46,20/07 08:11,23/07 16:36,22/07 15:50,21/07 19:47,20/07 12:49,24/07 14:32,23/07 04:39,22/07 03:23,20/07 23:17,24/07 15:43,23/07 07:37,21/07 09:34,23/07 16:43,21/07 14:14,20/07 19:13,20/07 14:44,23/07 23:53,23/07 12:07,22/07 16:12,21/07 17:50,20/07 23:10,
close time,22/07 19:34,21/07 17:00,21/07 07:43,21/07 07:00,20/07 08:34,23/07 16:45,22/07 16:00,21/07 19:48,20/07 13:00,24/07 14:39,23/07 05:45,22/07 03:38,20/07 23:25,24/07 16:11,23/07 11:42,21/07 14:59,23/07 17:19,21/07 14:45,20/07 20:09,20/07 15:02,24/07 00:03,23/07 12:25,22/07 21:52,21/07 17:52,20/07 23:14,
Profit,$9.40,$73.35,$15.14,$2.63,-$9.81,-$31.80,-$53.70,$1.01,$55.93,$33.72,-$7.34,$0.30,$30.94,-$34.65,$191.00,$177.20,$35.80,$146.60,$28.30,$310.20,$6.00,$36.30,-$58.74,$0.80,$0.63,
-,gold,us30cash,us100cash,us100cash,,gold,gold,gold,gold,gold,gold,gold,gold,gold,gold,eurusd,gold,gold,gold,gold,us100cash,us500cash,us100cash,us100cash,gold,
Symbol,GOLD,US30Cash,US100Cash,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,EURUSD,GOLD,GOLD,GOLD,GOLD,US100Cash,US500Cash,US100Cash,US100Cash,GOLD,
Type,SELL,BUY,BUY,BUY,SELL,BUY,SELL,BUY,SELL,BUY,BUY,BUY,BUY,SELL,SELL,SELL,SELL,SELL,SELL,BUY,BUY,SELL,BUY,SELL,SELL,
Asset Type,Precious Metals,Indices,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Forex,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Indices,Indices,Indices,Precious Metals,
Volume,0.2,0.9,0.7,0.1,0.05,0.2,0.05,0.1,0.01,0.07,0.05,0.05,0.09,0.03,0.03,0.01,0.1,0.1,0.1,0.01,0.4,46266,0.6,0.2,0.01,
Open price,"4,143.58","52,147.62","28,942.91","28,894.54","4,009.08","4,049.14","4,148.44","4,071.30","4,027.16","4,043.87","4,129.96","4,125.33","4,011.28","4,057.11","4,147.64",1.14250,"4,047.79","4,027.52","4,015.50","4,008.67","28,588.8","7,475.42","29,092.88","28,925.29","4,007.45",
close price,"4,146.35","52,232.12","28,964.04","28,920.54","4,005.03","4,046.69","4,152.95","4,084.71","4,022.26","4,038.92","4,122.16","4,125.20","4,003.50","4,057.31","4,139.30",1.14094,"4,047.27","4,022.54","4,011.84","4,015.13","28,589.8","7,473.55","29,117.51","28,899.91","4,007.20",
open time,22/07 18:22,21/07 15:12,21/07 07:32,21/07 06:46,20/07 19:18,23/07 15:13,22/07 15:26,21/07 19:08,20/07 12:48,24/07 03:40,23/07 04:17,22/07 03:23,20/07 18:18,24/07 10:04,22/07 17:39,20/07 13:55,23/07 16:37,21/07 02:31,20/07 17:05,20/07 14:29,23/07 21:22,23/07 12:06,22/07 15:01,21/07 14:47,20/07 23:10,
close time,22/07 18:28,21/07 17:00,21/07 07:43,21/07 07:00,20/07 19:22,23/07 16:22,22/07 15:40,21/07 19:25,20/07 13:00,24/07 03:47,23/07 05:45,22/07 03:23,20/07 18:59,24/07 14:48,23/07 02:00,20/07 15:40,23/07 17:19,21/07 02:59,20/07 17:25,20/07 14:34,23/07 21:26,23/07 12:21,22/07 16:13,21/07 15:10,20/07 23:14,
Profit,-$55.40,$76.05,$14.79,$2.60,$20.25,-$49.00,-$22.55,$134.10,$4.90,-$34.65,-$39.00,-$0.65,-$70.02,-$0.60,$25.02,$1.56,$5.20,$49.80,$36.60,$6.46,$0.40,$3.55,$14.78,$5.08,$0.25,
-,gold,us100cash,us100cash,us100cash,gold,gold,gold,gold,,gold,gold,gold,gold,gold,gold,eurusd,gold,gold,gold,gold,us100cash,us500cash,us100cash,us100cash,gold,
Symbol,GOLD,US100Cash,US100Cash,US100Cash,GOLD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,EURUSD,GOLD,GOLD,GOLD,GOLD,US100Cash,US500Cash,US100Cash,US100Cash,GOLD,
Type,SELL,SELL,BUY,BUY,SELL,SELL,SELL,BUY,,BUY,BUY,BUY,SELL,SELL,BUY,SELL,SELL,SELL,SELL,BUY,BUY,SELL,BUY,SELL,SELL,
Asset Type,Precious Metals,Indices,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Forex,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Indices,Indices,Indices,Precious Metals,
Volume,0.1,0.5,0.9,0.1,0.05,0.2,0.1,0.1,,0.05,0.05,0.08,0.13,0.03,0.03,0.5,0.05,0.01,0.01,0.1,46023,46024,0.3,0.3,0.07,
Open price,"4,144.01","28,952.04","28,920.16","28,894.16","4,009.22","4,064.07","4,149.83","4,073.41",,"4,043.01","4,129.19","4,107.66","4,010.88","4,048.68","4,126.19",1.14259,"4,062.24","4,026.90","4,015.27","4,010.45","28,409.93","7,474.05","29,096.51","28,937.91","4,010.84",
close price,"4,143.41","28,942.04","28,935.41","28,920.54","4,004.71","4,047.96","4,153.10","4,071.16",,"4,043.94","4,122.16","4,120.67","4,001.06","4,058.53","4,154.18",1.14084,"4,050.40","4,022.54","4,011.84","4,015.13","28,508.30","7,480.30","29,109.63","29,066.79","4,009.08",
open time,22/07 18:11,21/07 13:32,21/07 07:01,21/07 06:46,20/07 19:11,23/07 14:34,22/07 15:18,21/07 17:52,,24/07 03:05,23/07 04:16,22/07 02:01,20/07 14:36,24/07 09:27,22/07 14:16,20/07 13:55,23/07 13:59,21/07 02:31,20/07 16:25,20/07 14:27,23/07 20:56,23/07 10:34,22/07 15:01,21/07 14:46,20/07 18:02,
close time,22/07 18:20,21/07 13:36,21/07 07:06,21/07 07:00,20/07 19:22,23/07 15:10,22/07 15:40,21/07 17:56,,24/07 03:21,23/07 05:45,22/07 02:39,20/07 15:09,24/07 09:59,22/07 14:59,20/07 15:41,23/07 14:06,21/07 02:59,20/07 17:25,20/07 14:34,23/07 21:02,23/07 11:30,22/07 16:06,21/07 15:45,20/07 20:47,
Profit,$6.00,$5.00,$13.73,$2.64,$22.55,$322.20,-$32.70,-$22.50,,$4.65,-$35.15,$104.08,$127.66,-$29.55,$83.97,$87.50,$59.20,$4.36,$3.43,$46.80,$108.21,-$13.13,$3.94,-$38.66,$12.32,
-,gold,us100cash,us100cash,gold,gold,gold,gold,gold,,gold,gold,gold,gold,gold,gold,,gold,gold,gold,gold,gold,gold,gold,gold,us100cash,
Symbol,GOLD,US100Cash,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,
Type,SELL,SELL,BUY,SELL,SELL,SELL,SELL,BUY,,SELL,BUY,BUY,SELL,SELL,SELL,,SELL,SELL,SELL,SELL,SELL,SELL,BUY,SELL,BUY,
Asset Type,Precious Metals,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,
Volume,0.3,0.5,0.9,0.1,0.05,0.1,0.01,0.1,,0.15,0.05,0.12,0.03,0.01,0.03,,0.01,0.1,0.01,0.1,0.05,0.18,0.07,0.06,0.1,
Open price,"4,148.73","28,968.29","28,919.79","4,009.94","4,011.07","4,137.68","4,152.40","4,076.99",,"4,048.47","4,138.87","4,071.73","4,008.81","4,047.99","4,117.09",,"4,163.43","4,028.51","4,014.56","4,030.91","4,044.76","4,092.01","4,124.78","4,054.61","28,840.31",
close price,"4,147.20","28,956.66","28,935.41","4,015.90","4,004.70","4,131.07","4,151.89","4,070.95",,"4,045.71","4,137.53","4,080.90","4,010.10","4,058.53","4,124.42",,"4,150.00","4,031.58","4,011.84","4,007.42","4,043.01","4,091.08","4,151.13","4,045.65","28,877.43",
open time,22/07 15:20,21/07 13:19,21/07 07:01,20/07 14:28,20/07 18:07,22/07 19:12,22/07 15:16,21/07 16:52,,24/07 02:49,23/07 02:22,21/07 16:13,20/07 14:29,24/07 09:26,22/07 14:00,,22/07 16:54,21/07 02:06,20/07 16:24,20/07 12:38,23/07 18:40,23/07 10:26,22/07 14:11,21/07 13:37,20/07 16:31,
close time,22/07 15:26,21/07 13:23,21/07 07:06,20/07 14:41,20/07 19:22,22/07 20:54,22/07 15:32,21/07 17:45,,24/07 02:55,23/07 02:24,21/07 16:32,20/07 14:30,24/07 09:59,22/07 14:13,,22/07 17:26,21/07 02:16,20/07 17:25,20/07 13:25,23/07 18:45,23/07 10:26,22/07 14:58,21/07 14:45,20/07 17:00,
Profit,$45.90,$5.82,$14.06,-$59.60,$31.85,$66.10,$0.51,-$60.40,,$41.40,-$6.70,$110.04,-$3.87,-$10.54,-$21.99,,$13.43,-$30.70,$2.72,$234.90,$8.75,$16.74,$184.45,$53.76,$3.71,
-,gold,us30cash,us100cash,gold,,gold,gold,gold,,gold,gold,gold,us500,eurusd,gold,,gold,gold,gold,gold,gold,gold,gold,gold,gold,
Symbol,GOLD,US30Cash,US100Cash,GOLD,BTCUSD,GOLD,GOLD,GOLD,,GOLD,GOLD,GOLD,US500-SEP26,EURUSD,GOLD,,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,
Type,BUY,SELL,BUY,SELL,BUY,SELL,BUY,SELL,,BUY,SELL,BUY,BUY,SELL,BUY,,SELL,SELL,SELL,SELL,SELL,SELL,BUY,SELL,SELL,
Asset Type,Precious Metals,Indices,Indices,Precious Metals,Crypto,Precious Metals,Precious Metals,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Indices,Forex,Precious Metals,,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,
Volume,0.3,0.9,0.9,0.01,0.2,0.1,0.08,0.08,,0.1,0.08,0.1,15,1,0.03,,0.1,0.1,0.01,0.1,0.08,0.12,0.07,0.08,0.05,
Open price,"4,129.05","51,986.37","28,921.54","4,010.37","64,231.85","4,138.89","4,157.28","4,077.94",,"4,044.57","4,137.10","4,042.13","7,528.15",1.13914,"4,125.29",,"4,083.58","4,025.77","4,014.52","4,031.48","4,046.83","4,091.86","4,125.30","4,057.86","4,010.48",
close price,"4,129.83","51,976.87","28,935.41","4,015.62","64,127.85","4,131.07","4,152.18","4,077.95",,"4,049.65","4,129.42","4,051.26","7,528.97",1.13710,"4,107.98",,"4,086.31","4,031.58","4,011.84","4,007.79","4,045.52","4,090.93","4,126.21","4,057.18","4,003.92",
open time,22/07 13:23,21/07 13:16,21/07 07:00,20/07 14:27,24/07 22:04,22/07 19:12,22/07 15:07,21/07 16:42,,24/07 02:05,22/07 19:04,21/07 04:25,20/07 14:01,24/07 08:38,22/07 13:07,,21/07 19:29,21/07 01:59,20/07 16:24,20/07 12:37,23/07 18:15,23/07 09:15,22/07 13:07,21/07 12:19,20/07 13:41,
